Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
0.607,0.244,0.176,-6.531,14.709,11.597
0.601,0.251,0.158,-7.446,9.583,6.226
0.601,0.151,0.123,-10.925,4.150,-0.183
0.595,0.045,0.100,-14.038,-1.465,-4.028
0.585,-0.011,0.142,-17.517,-8.118,-5.188
0.570,-0.060,0.281,-20.996,-15.259,-5.554
0.564,-0.116,0.405,-20.020,-19.775,-5.188
0.547,-0.116,0.456,-16.846,-20.996,-3.967
0.535,-0.018,0.440,-10.986,-20.935,-1.709
0.536,0.087,0.412,-7.324,-21.729,-0.916
0.539,0.087,0.399,-8.728,-23.682,-3.784
0.536,0.010,0.413,-13.062,-26.550,-7.263
0.531,-0.002,0.444,-14.709,-29.297,-8.667
0.527,0.023,0.469,-12.573,-31.616,-8.667
0.507,0.011,0.478,-11.780,-33.203,-9.644
0.494,-0.001,0.440,-9.827,-34.363,-10.803
0.487,-0.002,0.369,-7.446,-36.316,-11.475
0.497,-0.024,0.312,-7.996,-39.917,-12.451
0.495,-0.078,0.293,-11.902,-45.166,-13.489
0.504,-0.152,0.318,-17.883,-50.964,-13.855
0.511,-0.225,0.394,-25.452,-56.641,-12.573
0.524,-0.245,0.506,-29.358,-61.340,-8.789
0.512,-0.161,0.568,-21.545,-63.599,-3.723
0.501,-0.024,0.596,-14.893,-64.392,0.427
0.478,0.114,0.593,-9.521,-64.819,1.587
0.472,0.205,0.571,-7.935,-65.613,-0.916
0.461,0.175,0.558,-8.057,-67.017,-6.042
0.459,0.084,0.562,-11.841,-69.153,-11.597
0.448,0.008,0.577,-12.451,-71.106,-14.648
0.436,-0.019,0.546,-13.062,-72.388,-15.442
0.444,-0.083,0.482,-14.343,-74.158,-15.686
0.420,-0.180,0.512,-19.836,-78.735,-15.442
0.404,-0.215,0.617,-23.621,-84.595,-12.146
0.380,-0.186,0.726,-24.841,-88.562,-7.080
0.352,-0.099,0.809,-24.170,-90.027,-2.686
0.317,0.010,0.864,-18.372,-90.210,0.488
0.298,0.103,0.928,-14.099,-89.233,1.221
0.291,0.152,0.984,-10.986,-87.036,-0.916
0.284,0.143,1.004,-10.742,-82.703,-4.944
0.292,0.095,0.973,-10.559,-76.782,-9.399
0.293,0.017,0.907,-14.282,-71.655,-13.428
0.291,-0.075,0.830,-20.264,-68.604,-16.113
0.276,-0.156,0.757,-24.292,-68.237,-16.113
0.242,-0.160,0.671,-20.325,-70.129,-12.817
0.213,-0.107,0.592,-14.587,-74.524,-8.362
0.169,-0.074,0.597,-12.756,-81.665,-5.310
0.119,-0.073,0.725,-13.550,-89.844,-4.028
0.081,-0.093,0.906,-13.000,-95.642,-2.625
0.063,-0.052,1.069,-14.526,-96.497,-0.549
0.064,0.093,1.182,-5.554,-92.896,0.916
0.082,0.198,1.196,8.789,-85.083,-1.892
0.103,0.125,1.104,16.052,-75.867,-9.033
0.126,-0.117,0.994,12.390,-68.604,-17.273
