Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-1.525,-0.437,1.364,65.857,76.172,-204.163
-1.569,-0.507,1.238,46.326,118.408,-198.242
-1.626,-0.581,1.095,38.025,155.518,-192.444
-1.708,-0.656,0.984,27.405,186.401,-187.134
-1.788,-0.692,0.901,3.662,212.463,-181.213
-1.867,-0.743,0.852,-12.939,235.107,-174.072
-1.964,-0.765,0.813,-22.949,256.226,-165.894
-2.059,-0.747,0.744,-26.245,279.175,-155.579
-2.105,-0.707,0.603,-24.719,303.955,-144.226
-2.151,-0.690,0.427,-27.649,325.378,-134.766
-2.190,-0.744,0.251,-38.757,340.576,-127.014
-2.191,-0.839,0.127,-71.106,351.929,-118.408
-2.153,-0.974,-0.046,-94.971,362.976,-109.131
-2.085,-1.090,-0.240,-87.585,374.512,-98.083
-2.000,-1.214,-0.497,-49.316,385.498,-84.595
-1.953,-1.321,-0.791,-2.563,390.381,-67.139
-1.897,-1.354,-1.021,26.489,387.573,-44.739
-1.814,-1.335,-1.275,64.636,378.601,-18.311
-1.790,-1.354,-1.542,118.774,360.596,11.292
-1.689,-1.367,-1.752,160.583,327.271,47.424
-1.581,-1.327,-1.937,169.312,277.771,91.919
-1.574,-1.280,-2.029,142.578,225.769,135.498
-1.572,-1.173,-2.064,91.309,171.570,179.016
-1.562,-1.049,-2.049,35.278,117.249,219.666
-1.589,-0.823,-1.857,-19.836,68.359,254.333
-1.600,-0.626,-1.776,-3.723,25.635,280.273
-1.631,-0.439,-1.708,34.546,-12.512,298.706
-1.654,-0.134,-1.654,66.345,-50.842,311.890
-1.683,0.132,-1.565,93.872,-90.820,313.416
-1.733,0.377,-1.453,109.375,-130.310,308.594
-1.824,0.599,-1.315,113.159,-166.748,296.265
-1.928,0.770,-1.167,106.934,-199.768,278.381
-1.963,0.898,-1.070,112.488,-227.173,256.042
-2.022,0.934,-1.044,121.582,-250.000,230.164
-2.025,0.966,-0.992,103.577,-272.705,203.247
-2.025,0.965,-0.938,69.885,-295.715,177.246
-2.109,0.959,-0.816,30.396,-319.275,152.283
-2.207,0.939,-0.629,-10.376,-340.393,130.127
-2.252,0.918,-0.423,-19.592,-355.530,110.596
-2.302,0.921,-0.219,-1.587,-364.868,92.468
-2.283,0.959,0.028,20.874,-369.080,74.036
-2.249,0.985,0.284,43.701,-366.882,53.284
-2.225,0.997,0.546,62.561,-358.276,31.311
-2.079,0.983,0.735,86.487,-339.783,8.057
-1.952,0.920,0.859,129.700,-312.134,-17.639
-1.819,0.820,0.904,170.715,-277.466,-46.082
-1.736,0.697,0.940,199.768,-244.385,-74.158
-1.712,0.552,0.957,220.154,-210.327,-99.670
-1.694,0.424,0.978,231.812,-175.842,-120.239
-1.676,0.364,1.019,229.675,-140.259,-135.376
-1.639,0.352,1.023,238.342,-104.126,-147.278
-1.593,0.346,1.002,234.619,-67.261,-159.363
-1.579,0.311,0.994,205.750,-31.982,-172.424
-1.574,0.250,1.001,160.339,-0.305,-185.974
-1.596,0.160,1.028,113.098,28.381,-199.097
-1.617,0.042,1.060,73.120,55.237,-210.754
-1.652,-0.083,1.107,35.522,82.214,-219.238
-1.747,-0.167,1.176,-12.634,109.802,-225.403
-1.802,-0.310,0.981,-75.439,137.207,-231.262
-1.955,-0.192,1.235,-206.482,157.532,-238.464
-2.100,-0.247,1.273,-208.130,180.298,-249.207
-2.238,-0.370,1.337,-178.406,205.811,-260.559
-2.302,-0.552,1.469,-149.048,235.535,-269.409
-2.386,-0.837,1.407,-84.839,272.888,-274.597
-2.429,-1.007,1.175,-22.217,317.139,-271.851
-2.524,-1.114,0.839,23.926,359.314,-262.329
-2.615,-1.198,0.482,59.082,394.836,-246.155
-2.666,-1.289,0.192,69.580,424.072,-223.206
-2.665,-1.361,-0.042,73.853,444.763,-195.496
-2.659,-1.423,-0.255,90.576,454.529,-163.757
-2.599,-1.457,-0.459,104.187,455.933,-126.953
-2.527,-1.469,-0.672,122.375,450.623,-85.632
-2.411,-1.482,-0.893,139.954,436.951,-38.940
-2.235,-1.503,-1.146,136.230,415.771,11.963
-2.099,-1.445,-1.243,80.627,387.024,65.613
-2.073,-1.423,-1.288,42.175,349.365,116.089
-2.013,-1.283,-1.437,29.907,322.449,165.527
-1.927,-1.070,-1.545,34.912,287.964,210.266
-1.858,-0.855,-1.638,54.016,250.488,244.873
-1.806,-0.667,-1.703,73.608,207.520,272.217
-1.715,-0.463,-1.737,80.750,162.170,293.762
-1.670,-0.231,-1.698,87.585,114.563,310.364
-1.648,-0.020,-1.654,95.947,68.542,319.092
-1.599,0.194,-1.635,124.878,24.353,318.909
-1.549,0.385,-1.600,150.269,-20.813,311.951
-1.548,0.543,-1.506,147.400,-67.871,298.157
-1.611,0.657,-1.368,127.014,-112.061,280.273
-1.698,0.740,-1.245,114.014,-150.024,260.437
-1.717,0.833,-1.188,113.037,-182.617,240.051
-1.763,0.918,-1.142,102.478,-213.623,217.651
-1.823,0.970,-1.073,82.275,-244.995,192.444
-1.911,0.976,-0.958,56.030,-275.574,165.955
-1.970,0.933,-0.811,49.133,-304.687,139.648
-2.039,0.855,-0.635,60.486,-330.017,113.647
-2.063,0.759,-0.444,72.266,-349.976,89.294
-2.086,0.669,-0.245,73.120,-364.014,67.444
-2.102,0.633,-0.002,50.354,-372.498,50.415
-2.084,0.635,0.205,37.842,-372.131,37.109
-2.057,0.672,0.369,51.208,-363.647,23.987
-2.050,0.758,0.480,72.998,-349.854,8.789
-2.069,0.887,0.575,93.811,-333.313,-9.094
-2.060,1.015,0.630,108.948,-314.697,-32.043
-2.068,1.064,0.700,118.347,-297.119,-60.852
-2.095,1.003,0.715,127.380,-277.893,-93.689
-2.130,0.906,0.725,122.375,-263.489,-126.282
-2.144,0.772,0.799,103.821,-252.075,-156.738
-2.082,0.549,0.853,102.844,-240.845,-185.364
-1.995,0.254,0.876,91.003,-227.234,-210.754
-1.936,-0.188,0.789,31.738,-214.172,-228.333
-1.878,-0.401,1.239,-127.563,-202.820,-230.408
-1.641,-0.556,1.608,-182.007,-177.490,-218.323
-1.415,-0.649,1.830,-118.713,-135.437,-206.299
-1.370,-0.706,1.918,-48.218,-84.900,-195.312
-1.321,-0.722,1.932,6.836,-28.870,-183.350
