Starting IMU capture...
aX,aY,aZ,gX,gY,gZ
-0.468,0.145,1.859,-27.405,-122.437,38.452
-0.478,0.140,1.584,-33.386,-105.103,36.621
-0.475,0.226,1.394,-36.499,-95.581,36.987
-0.426,0.355,1.419,-43.457,-92.285,36.194
-0.439,0.433,1.483,-33.508,-89.600,33.325
-0.454,0.564,4.000,144.226,-2.808,14.832
0.358,-0.123,0.859,211.243,56.152,13.794
-0.630,0.615,0.051,-162.842,71.411,7.080
-0.560,0.610,0.186,-34.363,40.649,-7.690
-0.476,-0.404,1.433,120.239,27.649,-19.287
-0.257,-0.505,1.396,157.410,22.949,-12.512
-0.376,-0.328,0.999,23.132,1.587,2.930
-0.396,0.331,1.130,-15.808,-18.005,11.414
-0.473,0.687,1.217,-45.166,-40.283,4.150
-0.517,0.621,1.740,-65.308,-62.256,-12.329
-0.540,0.398,2.294,-43.701,-61.218,-29.419
-0.577,0.134,3.032,-24.048,-62.744,-39.795
-0.657,-0.039,3.337,-20.935,-30.762,-43.579
-0.732,-0.171,3.580,-15.503,6.287,-41.077
-0.808,-0.247,3.625,1.404,46.570,-33.691
-0.905,-0.289,3.551,23.437,89.539,-22.827
-0.969,-0.309,3.345,56.335,129.333,-9.888
-1.004,-0.313,3.023,85.510,165.955,3.296
-1.010,-0.305,2.635,102.295,196.960,15.808
-1.013,-0.284,2.249,100.647,218.750,25.818
-0.978,-0.276,1.902,92.041,231.384,33.325
-0.945,-0.288,1.645,78.918,236.267,39.001
-0.887,-0.304,1.489,62.317,234.863,44.128
-0.845,-0.286,1.433,40.833,230.164,48.828
-0.799,-0.236,1.437,24.109,225.769,53.284
-0.755,-0.168,1.469,14.221,223.694,57.373
-0.736,-0.093,1.516,7.446,224.182,60.425
-0.719,-0.002,1.550,5.920,227.905,62.073
-0.697,0.073,1.534,7.568,234.924,61.646
-0.680,0.114,1.459,7.568,243.958,59.265
-0.679,0.110,1.328,7.385,253.174,55.481
-0.657,0.072,1.173,7.874,260.925,51.697
-0.618,0.013,1.022,10.803,265.564,49.377
-0.569,-0.038,0.909,9.033,267.334,48.889
-0.530,-0.073,0.801,5.615,267.517,49.805
-0.514,-0.078,0.735,2.502,266.235,52.612
-0.464,-0.052,0.715,-5.005,262.634,56.396
-0.410,0.026,0.727,-13.611,258.362,60.486
-0.393,0.126,0.757,-14.404,255.432,63.171
-0.364,0.221,0.802,-21.851,254.578,63.354
-0.360,0.301,0.835,-27.222,257.324,60.303
-0.360,0.353,0.810,-20.630,263.000,55.176
-0.354,0.364,0.735,-10.742,269.836,49.011
-0.364,0.360,0.636,-3.906,275.879,42.480
-0.343,0.312,0.518,8.545,280.457,36.011
-0.351,0.258,0.430,21.240,282.959,31.250
-0.311,0.232,0.363,27.161,282.776,28.870
-0.301,0.222,0.345,34.302,278.137,28.076
-0.296,0.216,0.340,32.593,275.024,27.039
-0.294,0.192,0.323,26.367,274.780,25.513
-0.275,0.152,0.287,19.958,276.978,23.437
-0.262,0.089,0.229,14.526,280.273,21.240
